top - 16:48:38 up 2 days,  2:01,  0 users,  load average: 0,38, 0,55, 0,50
Tasks: 274 total,   3 running, 271 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37,9 us,  7,6 sy,  0,0 ni, 54,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7782,7 total,    306,5 free,   2382,3 used,   5093,8 buff/cache
MiB Swap:   2048,0 total,   2047,7 free,      0,2 used.   4954,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  33341 dead_sp+  20   0 4079148 106972  68076 S  93,8   1,3   0:02.49 vsdbg-ui
    217 root      20   0       0      0      0 S   0,0   0,0   0:02.16 jbd2/sd+
    218 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    219 root       0 -20       0      0      0 I   0,0   0,0   0:00.14 kworker+
    234 root       0 -20       0      0      0 I   0,0   0,0   0:00.14 kworker+
    258 root      19  -1   84700  32632  31128 S   0,0   0,4   0:04.18 systemd+
    284 root      20   0   23792   7248   3920 S   0,0   0,1   0:00.71 systemd+
    292 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop0
    298 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop1
    299 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop2
    300 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop3
    310 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop4
    313 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop5
    331 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop6
    332 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop7
    333 root       0 -20       0      0      0 S   0,0   0,0   0:00.02 loop8
    334 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop9
    340 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/28-+
    345 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    530 systemd+  20   0   24160  13220   9140 S   0,0   0,2   0:03.92 systemd+
    531 systemd+  20   0   90260   6044   5268 S   0,0   0,1   0:00.37 systemd+
    561 root      20   0  249428   7560   6604 S   0,0   0,1   0:02.30 account+
    562 root      20   0    2548    776    708 S   0,0   0,0   0:00.00 acpid
    565 avahi     20   0    8676   3988   3496 S   0,0   0,1   0:01.52 avahi-d+
    566 root      20   0   20580   3084   2812 S   0,0   0,0   0:00.24 cron
    569 message+  20   0    9832   6364   3980 S   0,0   0,1   0:04.92 dbus-da+
    572 root      20   0  346964  19816  16816 S   0,0   0,2   1:02.78 Network+
    578 root      20   0   81904   3680   3364 S   0,0   0,0   0:06.00 irqbala+
    580 root      20   0   50492  20092  11872 S   0,0   0,3   0:00.15 network+
    585 root      20   0  252320  10664   7212 S   0,0   0,1   0:01.62 polkitd
    590 syslog    20   0  224356   4796   3756 S   0,0   0,1   0:01.09 rsyslogd
    592 root      20   0 1227212  30100  16152 S   0,0   0,4   0:38.69 snapd
    594 root      20   0  246768   6268   5724 S   0,0   0,1   0:00.02 switche+
    595 root      20   0   16880   8204   7184 S   0,0   0,1   0:00.88 systemd+
